district,mandal,date,temp_min,temp_max
Adilabad,Bela,2020-08-23,25.8,32.7
Adilabad,Bela,2020-08-24,23.7,33.5
Adilabad,Bela,2020-08-25,24.5,34.2
Adilabad,Bela,2020-08-26,24.95,34.3
Adilabad,Bela,2020-08-27,25.2,31.1
Adilabad,Bela,2020-08-28,24.45,27.4
Adilabad,Bela,2020-08-29,25.35,28.9
Adilabad,Bela,2020-08-30,23.55,31.4
Adilabad,Bela,2020-08-31,23.9,34.55
Adilabad,Gadiguda,2020-07-01,24.7,35.6
Adilabad,Gadiguda,2020-07-02,25.3,33.2
Adilabad,Gadiguda,2020-07-03,25.4,35.1
Adilabad,Gadiguda,2020-07-04,25.5,32.6
Adilabad,Gadiguda,2020-07-05,25.6,30.0
Adilabad,Gadiguda,2020-07-06,23.1,32.2
Adilabad,Gadiguda,2020-07-07,25.4,29.1
Adilabad,Gadiguda,2020-07-08,23.5,31.6
Adilabad,Gadiguda,2020-07-09,24.6,34.7
Adilabad,Gadiguda,2020-07-10,24.5,31.1
Adilabad,Gadiguda,2020-07-11,24.9,29.6
Adilabad,Gadiguda,2020-07-12,26.3,33.5
Adilabad,Gadiguda,2020-07-13,23.2,33.5
Adilabad,Gadiguda,2020-07-14,26.5,32.5
Adilabad,Gadiguda,2020-07-15,25.1,33.2
Adilabad,Gadiguda,2020-07-16,24.6,26.8
Adilabad,Gadiguda,2020-07-17,24.9,30.4
Adilabad,Gadiguda,2020-07-18,25.6,32.9
Adilabad,Gadiguda,2020-07-19,27.2,34.1
Adilabad,Gadiguda,2020-07-20,25.3,34.1
Adilabad,Gadiguda,2020-07-21,25.7,32.8
Adilabad,Gadiguda,2020-07-22,25.8,33.9
Adilabad,Gadiguda,2020-07-23,22.9,33.7
Adilabad,Gadiguda,2020-07-24,23.8,26.7
Adilabad,Gadiguda,2020-07-25,25.1,33.8
Adilabad,Gadiguda,2020-07-26,24.6,33.5
Adilabad,Gadiguda,2020-07-27,25.5,35.2
Adilabad,Gadiguda,2020-07-28,26.3,36.6
Adilabad,Gadiguda,2020-07-29,23.1,34.8
Adilabad,Gadiguda,2020-07-30,25.2,32.8
Adilabad,Gadiguda,2020-07-31,26.1,35.3
Adilabad,Gadiguda,2020-08-01,25.4,34.7
Adilabad,Gadiguda,2020-08-02,25.3,33.5
Adilabad,Gadiguda,2020-08-03,24.9,36.5
Adilabad,Gadiguda,2020-08-04,25.6,33.7
Adilabad,Gadiguda,2020-08-05,25.3,31.9
Adilabad,Gadiguda,2020-08-06,25.5,31.5
Adilabad,Gadiguda,2020-08-07,26.0,31.5
Adilabad,Gadiguda,2020-08-08,26.0,34.0
Adilabad,Gadiguda,2020-08-09,26.2,31.8
Adilabad,Gadiguda,2020-08-10,24.4,28.4
Adilabad,Gadiguda,2020-08-11,23.3,26.0
Adilabad,Gadiguda,2020-08-12,24.6,27.1
Adilabad,Gadiguda,2020-08-13,23.4,30.1
Adilabad,Gadiguda,2020-08-14,24.4,26.7
Adilabad,Gadiguda,2020-08-15,23.0,28.6
Adilabad,Gadiguda,2020-08-16,24.5,28.1
Adilabad,Gadiguda,2020-08-17,23.5,25.3
Adilabad,Gadiguda,2020-08-18,23.5,24.9
Adilabad,Gadiguda,2020-08-19,23.9,25.5
Adilabad,Gadiguda,2020-08-20,24.1,27.9
Adilabad,Gadiguda,2020-08-21,24.3,26.5
Adilabad,Gadiguda,2020-08-22,24.6,27.9
Adilabad,Gadiguda,2020-08-23,25.4,31.2
Adilabad,Gadiguda,2020-08-24,23.7,31.5
Adilabad,Gadiguda,2020-08-25,24.6,32.4
Adilabad,Gadiguda,2020-08-26,24.8,33.0
Adilabad,Gadiguda,2020-08-27,25.1,30.4
Adilabad,Gadiguda,2020-08-28,24.5,26.1
Adilabad,Gadiguda,2020-08-29,24.8,27.7
Adilabad,Gadiguda,2020-08-30,23.6,30.1
Adilabad,Gadiguda,2020-08-31,24.0,32.6
Adilabad,Narnoor,2020-07-01,22.9,35.4
Adilabad,Narnoor,2020-07-02,24.0,31.6
Adilabad,Narnoor,2020-07-03,24.4,35.1
Adilabad,Narnoor,2020-07-04,24.2,30.8
Adilabad,Narnoor,2020-07-05,24.5,28.7
Adilabad,Narnoor,2020-07-06,22.2,30.2
Adilabad,Narnoor,2020-07-07,24.6,29.2
Adilabad,Narnoor,2020-07-08,22.8,30.5
Adilabad,Narnoor,2020-07-09,23.8,33.7
Adilabad,Narnoor,2020-07-10,23.5,30.2
Adilabad,Narnoor,2020-07-11,23.9,28.2
Adilabad,Narnoor,2020-07-12,24.7,32.6
Adilabad,Narnoor,2020-07-13,22.1,31.6
Adilabad,Narnoor,2020-07-14,25.1,32.4
Adilabad,Narnoor,2020-07-15,24.9,32.6
Adilabad,Narnoor,2020-07-16,24.2,27.5
Adilabad,Narnoor,2020-07-17,24.0,30.1
Adilabad,Narnoor,2020-07-18,24.9,32.6
Adilabad,Narnoor,2020-07-19,25.3,34.8
Adilabad,Narnoor,2020-07-20,24.9,32.6
Adilabad,Narnoor,2020-07-21,24.5,33.1
Adilabad,Narnoor,2020-07-22,25.6,32.7
Adilabad,Narnoor,2020-07-23,22.4,32.8
Adilabad,Narnoor,2020-07-24,22.4,27.5
Adilabad,Narnoor,2020-07-25,23.5,32.6
Adilabad,Narnoor,2020-07-26,23.4,33.0
Adilabad,Narnoor,2020-07-27,24.6,32.6
Adilabad,Narnoor,2020-07-28,25.4,35.3
Adilabad,Narnoor,2020-07-29,22.4,34.7
Adilabad,Narnoor,2020-07-30,24.9,32.6
Adilabad,Narnoor,2020-07-31,25.9,35.0
Adilabad,Narnoor,2020-08-01,24.9,35.3
Adilabad,Narnoor,2020-08-02,24.9,33.2
Adilabad,Narnoor,2020-08-03,24.9,35.2
Adilabad,Narnoor,2020-08-04,24.9,32.1
Adilabad,Narnoor,2020-08-05,24.7,30.1
Adilabad,Narnoor,2020-08-06,24.3,30.7
Adilabad,Narnoor,2020-08-07,24.9,32.1
Adilabad,Narnoor,2020-08-08,24.9,33.0
Adilabad,Narnoor,2020-08-09,25.0,32.4
Adilabad,Narnoor,2020-08-10,23.2,28.2
Adilabad,Narnoor,2020-08-11,22.7,25.6
Adilabad,Narnoor,2020-08-12,23.9,25.8
Adilabad,Narnoor,2020-08-13,22.9,29.0
Adilabad,Narnoor,2020-08-14,23.1,25.9
Adilabad,Narnoor,2020-08-15,22.1,27.2
Adilabad,Narnoor,2020-08-16,23.4,24.9
Adilabad,Narnoor,2020-08-17,22.5,23.7
Adilabad,Narnoor,2020-08-18,22.4,24.5
Adilabad,Narnoor,2020-08-19,22.6,24.2
Adilabad,Narnoor,2020-08-20,23.0,26.6
Adilabad,Narnoor,2020-08-21,23.3,25.4
Adilabad,Narnoor,2020-08-22,23.3,26.5
